"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Reg1","SOP5","137.16mm","68.58mm","137.16mm","68.58mm","138.47mm","69.53mm","B","180.00","ADP122"
"7","6-0805_N","95.504mm","48.26mm","95.504mm","48.26mm","95.504mm","49.16mm","B","270.00","Res1"
"6","6-0805_N","93.599mm","46.482mm","93.599mm","46.482mm","93.599mm","45.582mm","B","90.00","Res1"
"5","6-0805_N","95.504mm","44.704mm","95.504mm","44.704mm","95.504mm","45.604mm","B","270.00","Res1"
"4","6-0805_N","93.599mm","42.926mm","93.599mm","42.926mm","93.599mm","43.826mm","B","270.00","Res1"
"3","6-0805_N","95.504mm","41.148mm","95.504mm","41.148mm","95.504mm","42.048mm","B","270.00","Res1"
"2","6-0805_N","93.599mm","39.37mm","93.599mm","39.37mm","93.599mm","40.27mm","B","270.00","Res1"
"1","6-0805_N","95.504mm","37.592mm","95.504mm","37.592mm","95.504mm","38.492mm","B","270.00","Res1"
"SW6","Btn_Horiz","110.744mm","42.926mm","110.744mm","42.926mm","112.994mm","46.676mm","T","270.00","Horizontal button"
"SW5","Btn_Horiz","103.124mm","42.926mm","103.124mm","42.926mm","105.374mm","46.676mm","T","270.00","Horizontal button"
"SW4","Btn_Horiz","95.504mm","42.926mm","95.504mm","42.926mm","97.754mm","46.676mm","T","270.00","Horizontal button"
"SW3","Btn_Vert","95.504mm","50.546mm","95.504mm","50.546mm","93.254mm","50.546mm","T","180.00","Vertical switch"
"SW2","Btn_Vert","109.347mm","35.306mm","109.347mm","35.306mm","111.597mm","35.306mm","T","360.00","Vertical switch"
"SW1","Btn_Vert","95.504mm","35.306mm","95.504mm","35.306mm","97.754mm","35.306mm","T","360.00","Vertical switch"
"J2","Phonejack","107.1372mm","41.275mm","112.776mm","41.275mm","113.8936mm","37.5666mm","B","180.00","3.5mm Jack"
"C2","6-0805_M","137.16mm","65.786mm","137.16mm","65.786mm","136.16mm","65.786mm","B","360.00","Cap"
"C1","6-0805_M","137.16mm","71.374mm","137.16mm","71.374mm","136.16mm","71.374mm","B","360.00","Cap"
"R3","Rowres","101.727mm","66.294mm","101.727mm","66.294mm","102.362mm","65.024mm","B","90.00","Rowresistor"
"J1","Phonejack","148.6662mm","68.58mm","154.305mm","68.58mm","155.4226mm","64.8716mm","B","180.00","3.5mm Jack"
"Mic1","SPW2430HR5H-B","88.011mm","63.5mm","88.011mm","63.5mm","86.9188mm","62.8142mm","T","90.00","Microphone"
"Eye_R","3528_A","138.1747mm","58.42mm","138.176mm","58.42mm","138.8835mm","56.87mm","T","270.00","150141M173100"
"Eye_L","3528_A","65.0228mm","58.42mm","65.024mm","58.42mm","65.7315mm","56.87mm","T","270.00","150141M173100"
"U4","BMA253","147.32mm","58.42mm","147.32mm","58.42mm","146.57mm","57.67mm","B","360.00","BMA253"
"DEC","PRSP0016DH-B_N","64.643mm","47.371mm","64.643mm","47.371mm","68.043mm","51.816mm","B","180.00","Decoder"
"R1","Rowres","45.593mm","62.23mm","45.593mm","62.23mm","44.323mm","61.595mm","B","360.00","Rowresistor"
"R2","Rowres","156.21mm","51.435mm","156.21mm","51.435mm","154.94mm","50.8mm","B","360.00","Rowresistor"
"U1","PRSP0016DH-B_N","53.34mm","58.42mm","53.34mm","58.42mm","49.94mm","53.975mm","B","360.00","HD74HC595FP"
"U2","PRSP0016DH-B_N","147.955mm","45.085mm","147.955mm","45.085mm","151.355mm","49.53mm","B","180.00","HD74HC595FP"
"TRAN","LW18_N","53.34mm","45.466mm","53.34mm","45.466mm","57.89mm","50.546mm","B","180.00","Darlington NPN"
"LED1_Col1","0805_A","47.244mm","71.12mm","47.244mm","71.12mm","47.244mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col2","0805_A","52.324mm","71.12mm","52.324mm","71.12mm","52.324mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col3","0805_A","57.404mm","71.12mm","57.404mm","71.12mm","57.404mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col4","0805_A","62.484mm","71.12mm","62.484mm","71.12mm","62.484mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col5","0805_A","67.564mm","71.12mm","67.564mm","71.12mm","67.564mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col6","0805_A","72.644mm","71.12mm","72.644mm","71.12mm","72.644mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col7","0805_A","77.724mm","71.12mm","77.724mm","71.12mm","77.724mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col8","0805_A","82.804mm","71.12mm","82.804mm","71.12mm","82.804mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col9","0805_A","120.396mm","71.12mm","120.396mm","71.12mm","120.396mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col10","0805_A","125.476mm","71.12mm","125.476mm","71.12mm","125.476mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col11","0805_A","130.556mm","71.12mm","130.556mm","71.12mm","130.556mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col12","0805_A","135.636mm","71.12mm","135.636mm","71.12mm","135.636mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col13","0805_A","140.716mm","71.12mm","140.716mm","71.12mm","140.716mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col14","0805_A","145.796mm","71.12mm","145.796mm","71.12mm","145.796mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col15","0805_A","150.876mm","71.12mm","150.876mm","71.12mm","150.876mm","72.17mm","T","270.00","150080GS75000"
"LED1_Col16","0805_A","155.956mm","71.12mm","155.956mm","71.12mm","155.956mm","72.17mm","T","270.00","150080GS75000"
"LED2_Col1","0805_A","47.244mm","66.04mm","47.244mm","66.04mm","47.244mm","67.09mm","T","270.00","150080GS75000"
"LED2_Col2","0805_A","52.324mm","66.04mm","52.324mm","66.04mm","52.324mm","67.09mm","T","270.00","150080GS75000"
"LED2_Col3","0805_A","57.404mm","66.04mm","57.404mm","66.04mm","57.404mm","67.09mm","T","270.00","150080GS75000"
