Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Reg1       SOP5                  5400mil       2700mil       5400mil       2700mil   5451.575mil   2737.402mil  B        180.00 ADP122         
7          6-0805_N              3760mil       1900mil       3760mil       1900mil       3760mil   1935.433mil  B        270.00 Res1           
6          6-0805_N              3685mil       1830mil       3685mil       1830mil       3685mil   1794.567mil  B         90.00 Res1           
5          6-0805_N              3760mil       1760mil       3760mil       1760mil       3760mil   1795.433mil  B        270.00 Res1           
4          6-0805_N              3685mil       1690mil       3685mil       1690mil       3685mil   1725.433mil  B        270.00 Res1           
3          6-0805_N              3760mil       1620mil       3760mil       1620mil       3760mil   1655.433mil  B        270.00 Res1           
2          6-0805_N              3685mil       1550mil       3685mil       1550mil       3685mil   1585.433mil  B        270.00 Res1           
1          6-0805_N              3760mil       1480mil       3760mil       1480mil       3760mil   1515.433mil  B        270.00 Res1           
SW6        Btn_Horiz             4360mil       1690mil       4360mil       1690mil   4448.583mil   1837.638mil  T        270.00 Horizontal button
SW5        Btn_Horiz             4060mil       1690mil       4060mil       1690mil   4148.583mil   1837.638mil  T        270.00 Horizontal button
SW4        Btn_Horiz             3760mil       1690mil       3760mil       1690mil   3848.583mil   1837.638mil  T        270.00 Horizontal button
SW3        Btn_Vert              3760mil       1990mil       3760mil       1990mil   3671.417mil       1990mil  T        180.00 Vertical switch
SW2        Btn_Vert              4305mil       1390mil       4305mil       1390mil   4393.583mil       1390mil  T        360.00 Vertical switch
SW1        Btn_Vert              3760mil       1390mil       3760mil       1390mil   3848.583mil       1390mil  T        360.00 Vertical switch
J2         Phonejack             4218mil       1625mil       4440mil       1625mil       4484mil       1479mil  B        180.00 3.5mm Jack     
C2         6-0805_M              5400mil       2590mil       5400mil       2590mil    5360.63mil       2590mil  B        360.00 Cap            
C1         6-0805_M              5400mil       2810mil       5400mil       2810mil    5360.63mil       2810mil  B        360.00 Cap            
R3         Rowres                4005mil       2610mil       4005mil       2610mil       4030mil       2560mil  B         90.00 Rowresistor    
J1         Phonejack             5853mil       2700mil       6075mil       2700mil       6119mil       2554mil  B        180.00 3.5mm Jack     
Mic1       SPW2430HR5H-B         3465mil       2500mil       3465mil       2500mil       3422mil       2473mil  T         90.00 Microphone     
Eye_R      3528_A            5439.951mil       2300mil       5440mil       2300mil   5467.854mil   2238.976mil  T        270.00 150141M173100  
Eye_L      3528_A            2559.951mil       2300mil       2560mil       2300mil   2587.854mil   2238.976mil  T        270.00 150141M173100  
